Source,Vial,mass,percN,percC,N.mass,C.mass,CN,CPOM,NUT
bulk,2,8.521,0.31,3.28,0.0264151,0.2794888,10.5806451612903,N,Y
bulk,3,6.344,0.4,4.27,0.025376,0.2708888,10.675,N,N
bulk,4,8.589,0.33,3.46,0.0283437,0.2971794,10.4848484848485,Y,Y
bulk,5,9.599,0.3,3.23,0.028797,0.3100477,10.7666666666667,N,N
bulk,6,9.734,0.3,3.22,0.029202,0.3134348,10.7333333333333,Y,N
bulk,7,8.919,0.31,3.27,0.0276489,0.2916513,10.5483870967742,N,Y
bulk,8,8.526,0.31,3.3,0.0264306,0.281358,10.6451612903226,N,N
bulk,9,8.749,0.31,3.3,0.0271219,0.288717,10.6451612903226,N,N
bulk,10,8.6,0.31,3.33,0.02666,0.28638,10.741935483871,Y,Y
bulk,11,8.643,0.3,3.31,0.025929,0.2860833,11.0333333333333,Y,Y
bulk,12,8.229,0.33,3.72,0.0271557,0.3061188,11.2727272727273,Y,N
bulk,13,1.62,NA,NA,NA,NA,NA,Y,N
bulk,14,9.894,0.31,3.23,0.0306714,0.3195762,10.4193548387097,N,Y
bulk,15,9.589,0.29,3.12,0.0278081,0.2991768,10.7586206896552,N,Y
bulk,16,9.314,0.3,3.2,0.027942,0.298048,10.6666666666667,Y,Y
surf,1,8.503,0.32,3.41,0.0272096,0.2899523,10.65625,Y,N
surf,2,9.748,0.28,3.08,0.0272944,0.3002384,11,N,Y
surf,3,10.238,0.29,3.14,0.0296902,0.3214732,10.8275862068966,N,N
surf,4,11.731,0.28,3.05,0.0328468,0.3577955,10.8928571428571,Y,Y
surf,5,10.774,0.28,3.09,0.0301672,0.3329166,11.0357142857143,N,N
surf,6,9.577,0.29,3.18,0.0277733,0.3045486,10.9655172413793,Y,N
surf,7,9.026,0.31,3.28,0.0279806,0.2960528,10.5806451612903,N,Y
surf,8,8.975,0.3,3.27,0.026925,0.2934825,10.9,N,N
surf,9,8.606,0.3,3.31,0.025818,0.2848586,11.0333333333333,N,N
surf,10,9.883,0.29,3.18,0.0286607,0.3142794,10.9655172413793,Y,Y
surf,11,8.457,0.31,3.32,0.0262167,0.2807724,10.7096774193548,Y,Y
surf,12,8.354,0.29,3.15,0.0242266,0.263151,10.8620689655172,Y,N
surf,13,8.889,0.31,3.34,0.0275559,0.2968926,10.7741935483871,Y,N
surf,14,8.705,0.32,3.36,0.027856,0.292488,10.5,N,Y
surf,15,11.201,0.28,3.05,0.0313628,0.3416305,10.8928571428571,N,Y
surf,16,10.46,0.29,3.09,0.030334,0.323214,10.6551724137931,Y,Y
leaf,1,2.036,1.42,23.06,0.0289112,0.4695016,16.2394366197183,Y,N
leaf,4,2.306,2.15,36.76,0.049579,0.8476856,17.0976744186047,Y,Y
leaf,6,2.123,2.22,38.39,0.0471306,0.8150197,17.2927927927928,Y,N
leaf,10,2.857,1.83,29.43,0.0522831,0.8408151,16.0819672131148,Y,Y
leaf,11,2.162,1.64,26,0.0354568,0.56212,15.8536585365854,Y,Y
leaf,12,1.974,2.34,40.62,0.0461916,0.8018388,17.3589743589744,Y,N
leaf,13,2.275,2.72,42.98,0.06188,0.977795,15.8014705882353,Y,N
leaf,16,2.273,1.96,29.83,0.0445508,0.6780359,15.219387755102,Y,Y
