bod,day,CPOM,nutrient,E2E3,elapsed.d
1,2014-06-10,yes,no,1.85333333333333,0
2,2014-06-10,no,yes,3.1304347826087,0
3,2014-06-10,no,no,2.35483870967742,0
4,2014-06-10,yes,yes,7.78571428571429,0
5,2014-06-10,no,no,4.34210526315789,0
6,2014-06-10,yes,no,11.6739130434783,0
7,2014-06-10,no,yes,6.33333333333333,0
8,2014-06-10,no,no,4,0
9,2014-06-10,no,no,4.16216216216216,0
10,2014-06-10,yes,yes,5.97849462365591,0
11,2014-06-10,yes,yes,3.51937984496124,0
12,2014-06-10,yes,no,1.96794871794872,0
13,2014-06-10,yes,no,17.4054054054054,0
14,2014-06-10,no,yes,8.25,0
15,2014-06-10,no,yes,6.15384615384615,0
16,2014-06-10,yes,yes,21.1379310344828,0
1,2014-06-12,yes,no,4.30555555555556,2
2,2014-06-12,no,yes,3.33333333333333,2
3,2014-06-12,no,no,3.14516129032258,2
4,2014-06-12,yes,yes,6.88888888888889,2
5,2014-06-12,no,no,4.47058823529412,2
6,2014-06-12,yes,no,3.89393939393939,2
7,2014-06-12,no,yes,3.8,2
8,2014-06-12,no,no,3.45238095238095,2
9,2014-06-12,no,no,4.24324324324324,2
10,2014-06-12,yes,yes,5.09677419354839,2
11,2014-06-12,yes,yes,8.67857142857143,2
12,2014-06-12,yes,no,19.6451612903226,2
13,2014-06-12,yes,no,3.89156626506024,2
14,2014-06-12,no,yes,6.2962962962963,2
15,2014-06-12,no,yes,4.31428571428571,2
16,2014-06-12,yes,yes,4.25806451612903,2
1,2014-06-17,yes,no,5,7
2,2014-06-17,no,yes,4.47222222222222,7
3,2014-06-17,no,no,9.375,7
4,2014-06-17,yes,yes,1.53636363636364,7
5,2014-06-17,no,no,3.67567567567568,7
6,2014-06-17,yes,no,4.73684210526316,7
7,2014-06-17,no,yes,2.9672131147541,7
8,2014-06-17,no,no,3.94285714285714,7
9,2014-06-17,no,no,3.23809523809524,7
10,2014-06-17,yes,yes,1.26543209876543,7
11,2014-06-17,yes,yes,5.21428571428571,7
12,2014-06-17,yes,no,4.65789473684211,7
13,2014-06-17,yes,no,4.2093023255814,7
14,2014-06-17,no,yes,3.39583333333333,7
15,2014-06-17,no,yes,4.65384615384615,7
16,2014-06-17,yes,yes,4.48648648648649,7
1,2014-06-24,yes,no,1.97202797202797,14
2,2014-06-24,no,yes,3.19565217391304,14
3,2014-06-24,no,no,3.70588235294118,14
4,2014-06-24,yes,yes,4.42857142857143,14
5,2014-06-24,no,no,4.6875,14
6,2014-06-24,yes,no,4.6875,14
7,2014-06-24,no,yes,2.77272727272727,14
8,2014-06-24,no,no,3.60526315789474,14
9,2014-06-24,no,no,4.82352941176471,14
10,2014-06-24,yes,yes,3.87755102040816,14
11,2014-06-24,yes,yes,4.51515151515151,14
12,2014-06-24,yes,no,1.84615384615385,14
13,2014-06-24,yes,no,0.87431693989071,14
14,2014-06-24,no,yes,2.3265306122449,14
15,2014-06-24,no,yes,2.8974358974359,14
16,2014-06-24,yes,yes,1.84415584415584,14
1,2014-07-01,yes,no,18.6428571428571,21
2,2014-07-01,no,yes,3.19565217391304,21
3,2014-07-01,no,no,2.57446808510638,21
4,2014-07-01,yes,yes,4.42424242424242,21
5,2014-07-01,no,no,3.72222222222222,21
6,2014-07-01,yes,no,1.06451612903226,21
7,2014-07-01,no,yes,3.11764705882353,21
8,2014-07-01,no,no,4,21
9,2014-07-01,no,no,3.39473684210526,21
10,2014-07-01,yes,yes,4.3469387755102,21
11,2014-07-01,yes,yes,2.27586206896552,21
12,2014-07-01,yes,no,4.73333333333333,21
13,2014-07-01,yes,no,4.79310344827586,21
14,2014-07-01,no,yes,2.47619047619048,21
15,2014-07-01,no,yes,4.1,21
16,2014-07-01,yes,yes,1.55135135135135,21
