DATE,days,NUT,CPOM,NOx,NH3,P
12-Jun,2,0,C,0.892033586979089,0.236126537729759,0.0262362819699732
12-Jun,2,0,0,141.177433280426,-1.67912204607829,0.577198203339411
12-Jun,2,0,0,151.042275301136,4.4076953709555,0.367307947579625
12-Jun,2,0,C,2.88599101669705,2.38750165926756,0.629670767279357
12-Jun,2,0,0,40.4301105157287,-1.65288576410831,0.682143331219303
12-Jun,2,0,0,179.902185468106,-1.41675922637855,-0.104945127879893
12-Jun,2,0,C,1.75783089198821,-0.944506150919036,0.209890255759786
12-Jun,2,0,C,-0.865797305009116,-0.760852177129223,0.419780511519571
12-Jun,2,N,0,181.082818156755,-4.06662370534585,0.498489357429491
12-Jun,2,N,C,0,-1.12816012470885,0.0524725639399464
12-Jun,2,N,0,37.4654106531218,-4.56511306277534,0.629670767279357
12-Jun,2,N,C,-0.65590704924933,-3.20082640033673,0.183653973789812
12-Jun,2,N,C,2.57115563305737,0.0787088459099197,0.367307947579625
12-Jun,2,N,0,179.823476622196,-4.35522280701555,0.314835383639679
12-Jun,2,N,0,45.5199492179035,-4.48640421686542,0.787088459099196
12-Jun,2,N,C,-2.36126537729759,7.42486779750242,1.60041320016837
17-Jun,7,0,C,37.1586560443288,-1.18635219811825,0.267137823018267
17-Jun,7,0,0,2.6599916838077,-1.07799635358226,0.192679254787483
17-Jun,7,0,0,3.63073411669671,-1.14196040902505,0.122575909363715
17-Jun,7,0,C,-3.45505597262577,-0.969063310842931,0.0332676055379261
17-Jun,7,0,0,-32.2935573335088,-2.4248621247928,0.103370950961694
17-Jun,7,0,0,2.66885954711355,-2.00460936019777,0.14692317903185
17-Jun,7,0,C,-0.44942751014564,-0.933224549671947,0.0401939839779989
17-Jun,7,0,C,-20.3985518139624,-0.89087919057241,0.207581462946428
17-Jun,7,N,0,2.46421654774776,-1.25404180560078,0.300982626759533
17-Jun,7,N,C,18.9305793651784,-1.70661766958282,0.0796008794968988
17-Jun,7,N,0,-40.9538391764133,-1.04688012316587,-0.0130656684210466
17-Jun,7,N,C,14.4951260078987,-0.76431536634926,-0.123572888078574
17-Jun,7,N,C,20.5454749929942,-3.54945411515374,0.0177357266117019
17-Jun,7,N,0,-40.2830299190051,0.1764127599661,0.542146530627526
17-Jun,7,N,0,1.78600865882396,-1.16184751075829,0.573052870788155
17-Jun,7,N,C,17.1774710039448,-0.861337137074221,-0.00278104588881718
24-Jun,14,0,C,-14.2368560481863,-0.734765816770507,-0.0564454866382566
24-Jun,14,0,0,-2.36553814321841,-0.550886960563809,0.0417156883322574
24-Jun,14,0,0,-8.97648151320663,-0.588367363378056,0.0473752291572088
24-Jun,14,0,C,0.318883267143617,-0.282302393996912,0.00168661812664116
24-Jun,14,0,0,0.0198646134915515,1.84036273898518,0.340284577150553
24-Jun,14,0,0,-10.7506538608219,0.0138677490412716,0.0698634708457573
24-Jun,14,0,C,-0.249544521937259,-0.617639557975984,-0.066340312981218
24-Jun,14,0,C,0.341296548026537,-0.271882842014551,0.0922017909230488
24-Jun,14,N,0,-10.4358934379878,-0.385336021333278,0.259401867877407
24-Jun,14,N,C,-8.24471412866126,-0.605533387866982,-0.00142425530694137
24-Jun,14,N,0,-0.776668907116836,-1.56608115119052,-0.160715967267493
24-Jun,14,N,C,-0.187177131654351,-1.14727513014411,-0.259701711099921
24-Jun,14,N,C,-10.4918141989867,-1.07171463807059,-0.000562206042213702
24-Jun,14,N,0,-0.338972763052054,-0.876104415783034,-0.143849786001082
24-Jun,14,N,0,-7.73749183737606,-1.14259007979233,0.0206517019506503
24-Jun,14,N,C,-0.315697432904406,-0.849793173007432,-0.100409999139369
1-Jul,21,0,C,-8.47248253656345,0.0420155315547714,0.0748108840172379
1-Jul,21,0,0,-8.54373278231333,1.07208944209873,0.39346926874397
1-Jul,21,0,0,-8.64136923164445,0.802043139822081,0.351303815577941
1-Jul,21,0,C,-8.59058328583114,-0.154306818386257,0.0878165837937818
1-Jul,21,0,0,-7.08694448572916,0.0280353413050571,-0.102696303711038
1-Jul,21,0,0,-8.87389765070404,-0.264086918229188,0.0709878829301847
1-Jul,21,0,C,-8.7412170247416,-0.803579836337465,-0.189425955823207
1-Jul,21,0,C,-8.90077109952185,-0.481923019385594,-0.108355844535989
1-Jul,21,N,0,-10.994763724351,-0.262325339296918,0.156293279735412
1-Jul,21,N,C,-10.5646386216547,0.22139673942376,0.0749608056284949
1-Jul,21,N,0,-10.8468285744432,-0.294858328939685,0.147522865476878
1-Jul,21,N,C,-10.2037023425535,0.241336313720939,-0.0775094730198637
1-Jul,21,N,C,-10.0758192081513,0.0574574575142413,0.108918050578203
1-Jul,21,N,0,-10.1550152992978,-0.650622312452521,-0.101571891626611
1-Jul,21,N,0,-10.4749480177202,-0.405200634824829,0.0117313660808595
1-Jul,21,N,C,-10.2155461498428,0.0700508728598284,-0.00254866739136883
