date,om,rep,bag.mass,bag.cpom,cruc,cruc.mass,cruc.wet.sed,cruc.dry.sed,cruc.ash
2014-05-30,sed,A,NA,NA,1,29.7378,41.0326,32.2244,31.9088
2014-05-30,sed,B,NA,NA,2,26.6517,38.0633,29.1841,28.8573
2014-05-30,sed,C,NA,NA,3,28.0753,39.5898,30.6054,30.2828
2014-05-30,sed,D,NA,NA,4,27.4867,39.0056,30.0275,29.7007
2014-05-30,sed,E,NA,NA,5,30.3799,42.0787,32.9646,32.6316
2014-05-30,cpom,A,7.1597,8.6431,21,30.9983,NA,32.4642,31.191
2014-05-30,cpom,B,7.2625,9.2051,22,26.9346,NA,28.8457,27.1423
2014-05-30,cpom,C,7.2824,11.5849,23,28.813,NA,32.9767,29.4272
2014-05-30,cpom,D,7.3592,10.5602,24,29.395,NA,32.5144,29.8192
2014-06-03,leaf.disc,A,NA,NA,6,31.5145,NA,31.5169,31.5148
2014-06-03,leaf.disc,B,NA,NA,7,28.198,NA,28.2001,28.1981
2014-06-03,leaf.disc,C,NA,NA,8,28.9668,NA,28.9695,28.9672
2014-06-03,leaf.disc,D,NA,NA,9,27.0792,NA,27.0837,27.0797
2014-06-03,leaf.disc,E,NA,NA,10,29.7503,NA,29.7544,29.7508
