bod,treat,elapsed.d,spec275.slope,spec350.slope,s.ratio
1,L,1,-0.0153070216943859,-0.0147106305788493,1.04054150584096
1,L,2,-0.0146792425319557,-0.0143482576182433,1.02306795169969
1,L,9,-0.0141762720391311,-0.0144160660268191,0.983366198015327
1,L,16,-0.0116803108031968,-0.0107852382077241,1.08299052633179
1,L,30,-0.0131237796763531,-0.0119071636522605,1.10217513251878
1,L,44,-0.0136112822854053,-0.0120810214487794,1.12666651103252
2,L,1,-0.0152937104523206,-0.0151809994132745,1.00742448082487
2,L,2,-0.0152206187368926,-0.0151492320134913,1.00471223381738
2,L,9,-0.0141593734113707,-0.0132790106912915,1.06629731239365
2,L,16,-0.0120078799816877,-0.0115227119386134,1.04210536943551
2,L,30,-0.0137402119148741,-0.0129780167174816,1.05872971302046
2,L,44,-0.0140373169257417,-0.0131702079421995,1.06583867068369
3,L,1,-0.0148263105947324,-0.0139238833745872,1.06481146070157
3,L,2,-0.0138237297851121,-0.0128241908916799,1.07794167303613
3,L,9,-0.0155608834514176,-0.0133090737608118,1.16919356906986
3,L,16,-0.0116087698138624,-0.0112563400024912,1.03130944972284
3,L,30,-0.0134911422863734,-0.0126726064019987,1.06459096561585
3,L,44,-0.0134052693719337,-0.0118103435704141,1.13504482676651
4,L,1,-0.0146582858834783,-0.014371724425672,1.01993925358702
4,L,2,-0.0140002752169718,-0.0133395686597536,1.04952982919242
4,L,9,-0.0143646893609417,-0.0146239193016676,0.982273565972402
4,L,16,-0.0120061574326276,-0.0111290730464289,1.0788101922361
4,L,30,-0.0133605187239206,-0.011942761199475,1.11871270812213
4,L,44,-0.0136250045985949,-0.012687054505005,1.07392969685909
5,LS,1,-0.0145715768259395,-0.0137050708557864,1.06322520906831
5,LS,2,-0.0128794292692192,-0.0127650883802687,1.00895731275369
5,LS,9,-0.014253648319398,-0.0129011284210147,1.10483733315763
5,LS,16,-0.0116568720798539,-0.0105412514306006,1.105833795598
5,LS,30,-0.0136379488789002,-0.0128039985821143,1.06513202039485
5,LS,44,-0.0141377106101684,-0.0110993071732604,1.27374712578708
6,LS,1,-0.0140001366919884,-0.0131547859152814,1.06426184220338
6,LS,2,-0.0136364762902905,-0.0133700590456319,1.01992640748626
6,LS,9,-0.0157350497835983,-0.0139058665572476,1.1315403983506
6,LS,16,-0.0125314959425087,-0.0119828206391432,1.04578849336802
6,LS,30,-0.0151459068624504,-0.0143625359982931,1.05454265627257
6,LS,44,-0.0122775043924664,-0.0113117101043509,1.0853800423814
7,LS,1,-0.0144526144193082,-0.0132103496562184,1.0940372356083
7,LS,2,-0.0139997839550862,-0.0136289262531695,1.02721107261333
7,LS,9,-0.0143738369197732,-0.0148728265002617,0.966449579676082
7,LS,16,-0.0121316707889042,-0.0121849152990867,0.9956302929585
7,LS,30,-0.0131803758610103,-0.0130522943940417,1.00981294652893
7,LS,44,-0.0116249217306966,-0.0113993233334279,1.01979050779331
8,S,1,-0.0152933422508593,-0.0154007995431808,0.993022615999887
8,S,2,-0.0158379219919615,-0.0159551456157254,0.99265292673679
8,S,9,-0.0144010443390444,-0.0170325195941098,0.845502878154597
8,S,16,-0.0103962467825002,-0.00977661559525646,1.06337890461239
8,S,30,-0.0120534228025204,-0.0114089755473167,1.05648598794264
8,S,44,-0.0126329507108816,-0.012257678026695,1.03061531583464
9,S,1,-0.0155123192344396,-0.0161229366804692,0.962127405315109
9,S,2,-0.0161253929536195,-0.0187198643286077,0.861405439193097
9,S,9,-0.0142703563624036,-0.01647606094187,0.866126704237835
9,S,16,-0.0111540962072123,-0.0119134545540446,0.936260440379617
9,S,30,-0.0143560202110766,-0.0131843918695442,1.08886479961498
9,S,44,-0.0129928200313484,-0.0119853458950633,1.08405882859835
10,LS,1,-0.0140728947958085,-0.0134745974054385,1.04440187505183
10,LS,2,-0.0129875841555427,-0.0132259078041441,0.981980545144378
10,LS,9,-0.0161755246091897,-0.0141582277024102,1.14248230422485
10,LS,16,-0.0133555144921978,-0.0128808191291546,1.03685288631751
10,LS,30,-0.0129138902550241,-0.0110918252562319,1.16427097945566
10,LS,44,-0.0119172171271528,-0.0122226436686905,0.975011417348275
11,S,1,-0.0150646702846137,-0.0159845643610742,0.94245110121983
11,S,2,-0.0158857270071669,-0.0152735547293072,1.0400805371578
11,S,9,-0.0139427171355633,-0.0151755247541615,0.918763427389215
11,S,16,-0.0112961027355152,-0.0115239889416748,0.980225058587535
11,S,30,-0.0137138281787091,-0.0124723132116695,1.09954167650938
11,S,44,-0.0117030597853348,-0.0111107383761622,1.05331071519454
12,S,1,-0.0162400567675995,-0.0169499815329789,0.958116487383884
12,S,2,-0.0152933191965616,-0.015900353109419,0.961822614335667
12,S,9,-0.0151763211476696,-0.0167802190577227,0.904417343746482
12,S,16,-0.0125171561571134,-0.0132745495548768,0.942943947391032
12,S,30,-0.0139359271527501,-0.0128926434085842,1.08092085626686
12,S,44,-0.0122184850526985,-0.0110813165422874,1.10262034353694
