bod,CPOM,nutrient,temp,DO.T0,DO.TF,dDO,waterR
8,no,no,25.2,0.242721192142733,0.180254794552933,0.0624663975898005,0.00257416473584343
6,yes,no,25.2,0.214855978468488,0.199560693046407,0.0152952854220813,0.000633782545113866
13,yes,no,25.2,0.21656427134651,0.208730100739195,0.00783417060731498,0.000326197249437126
3,no,no,25.2,0.238671422354586,0.234647554787014,0.00402386756757162,0.000168128171347003
12,yes,no,25.2,0.242707183384274,0.227115318042754,0.0155918653415196,0.000654204140203621
5,no,no,25.2,0.264718547903631,0.235644798201342,0.0290737497022892,0.00122587841330805
1,yes,no,25.2,0.241881976305601,0.2323249637816,0.0095570125240011,0.000404386989732063
9,no,no,25.2,0.251149486019725,0.23494593157261,0.016203554447115,0.000689024285490361
7,no,yes,25.2,0.261188458123213,0.242465257480545,0.0187232006426684,0.000802422884685787
11,yes,yes,25.2,0.255809858936067,0.218443866445783,0.037365992490284,0.00160829235969659
14,no,yes,25.2,0.230445868499143,0.231794458729314,-0.00134859023017103,-5.81706785120503e-05
16,yes,yes,25.2,0.23799376863091,0.220258341424861,0.0177354272060485,0.000771105530697763
2,no,yes,25.2,0.257349817509925,0.239219503746808,0.0181303137631169,0.000793449180005114
4,yes,yes,25.2,0.22697040947487,0.223506724244498,0.00346368523037205,0.000152138443500968
10,yes,yes,25.2,0.255847768779996,0.205730623713315,0.0501171450666809,0.00221267748638768
15,no,yes,25.2,0.254003136311707,0.245778595155042,0.00822454115666466,0.000364455294977754
